"Country","Region","Happiness.Rank","Happiness.Score","Economy..GDP.per.Capita.","Family","Health..Life.Expectancy.","Freedom","Trust..Government.Corruption.","Generosity","Dystopia.Residual","Happinness State"
"Afghanistan","Southern Asia","141","3.7939999103546","0.40147721767425","0.58154332637787","0.18074677884579","0.10617952048779","0.061157830059528","0.31187093257904","2.1508011817932","Happy"
"Albania","Central and Eastern Europe","109","4.6440000534058","0.99619275331497","0.8036852478981","0.73115974664688","0.38149863481522","0.039864215999842","0.20131294429302","1.4904415607452","Happy"
"Algeria","Middle East and Northern Africa","53","5.8720002174377","1.0918644666672","1.1462174654007","0.61758464574814","0.2333358079195","0.14609611034393","0.069436646997929","2.5676038265228","Happy"
"Angola","Sub-Saharan Africa","140","3.795000076294","0.85842818021774","1.1044119596481","0.049868665635586","0","0.069720335304737","0.097926490008831","1.6144824028015","Happy"
"Argentina","Latin America and Caribbean","24","6.5989999771118","1.1852954626083","1.4404511451721","0.69513708353043","0.49451920390129","0.059739887714386","0.1094570606947","2.6140053272247","Happy"
"Armenia","Central and Eastern Europe","121","4.3759999275208","0.90059673786163","1.0074837207794","0.63752442598343","0.19830326735973","0.02667442150414","0.083488091826439","1.5214991569519","Happy"
"Australia","Australia and New Zealand","10","7.2839999198914","1.484414935112","1.5100419521332","0.84388679265976","0.60160738229752","0.30118373036385","0.47769924998283","2.0652108192444","Very Happy"
"Austria","Western Europe","13","7.0060000419617","1.4870972633362","1.4599449634552","0.81532841920853","0.56776618957519","0.22106036543846","0.31647232174873","2.1385064125061","Very Happy"
"Azerbaijan","Central and Eastern Europe","85","5.2340002059936","1.1536017656326","1.1524002552032","0.54077577590942","0.39815583825111","0.18098750710487","0.045269340276718","1.7624816894531","Happy"
"Bahrain","Middle East and Northern Africa","41","6.0869998931885","1.4884122610092","1.323110461235","0.65313303470612","0.53674691915512","0.25704216957092","0.17266848683357","1.6561493873596","Happy"
"Bangladesh","Southern Asia","110","4.6079998016357","0.58668297529221","0.73513174057007","0.53324103355408","0.47835665941238","0.1237178593874","0.17225535213947","1.9787361621857","Happy"
"Belarus","Central and Eastern Europe","67","5.5689997673035","1.156557559967","1.4449452161789","0.63771426677704","0.29540026187897","0.15631382167339","0.15513750910759","1.7232329845429","Happy"
"Belgium","Western Europe","17","6.8909997940064","1.4637807607651","1.4623126983643","0.81809186935425","0.53977072238922","0.25134313106537","0.23150333762169","2.124210357666","Very Happy"
"Belize","Latin America and Caribbean","50","5.9559998512268","0.90797531604767","1.081417798996","0.45019176602364","0.54750937223434","0.096581071615219","0.24001564085484","2.6319556236267","Happy"
"Benin","Sub-Saharan Africa","143","3.6570000648498","0.43108540773392","0.43529984354973","0.20993021130562","0.42596277594566","0.060929015278816","0.20794846117496","1.8856309652329","Happy"
"Bhutan","Southern Asia","97","5.0110001564026","0.88541638851166","1.3401265144348","0.4958792924881","0.50153768062592","0.17338038980961","0.47405454516411","1.1401844024658","Happy"
"Bolivia","Latin America and Caribbean","58","5.8229999542236","0.83375656604767","1.2276190519333","0.47363024950027","0.55873292684555","0.06047772616148","0.22556072473526","2.4432790279388","Happy"
"Bosnia and Herzegovina","Central and Eastern Europe","90","5.1820001602173","0.98240941762924","1.0693359375","0.70518630743027","0.20440317690373","0","0.32886749505997","1.892172574997","Happy"
"Botswana","Sub-Saharan Africa","142","3.7660000324249","1.1220941543579","1.2215549945831","0.34175550937653","0.50519633293152","0.098583199083805","0.099348448216915","0.3779137134552","Happy"
"Brazil","Latin America and Caribbean","22","6.6350002288818","1.1073532104492","1.4313060045242","0.61655235290527","0.43745374679565","0.11109276115894","0.16234989464283","2.7692670822144","Very Happy"
"Bulgaria","Central and Eastern Europe","105","4.7140002250671","1.1614590883255","1.4343794584274","0.70821768045425","0.28923171758652","0.011051530949771","0.11317769438028","0.99613928794861","Happy"
"Burkina Faso","Sub-Saharan Africa","134","4.0320000648498","0.3502277135849","1.043280005455","0.21584425866604","0.32436785101891","0.12032810598612","0.25086468458176","1.7272129058838","Happy"
"Burundi","Sub-Saharan Africa","154","2.9049999713898","0.091622568666935","0.62979358434677","0.1516107916832","0.059900753200054","0.084147945046425","0.20443518459797","1.6830241680145","Unhappy"
"Cambodia","Southeastern Asia","129","4.1680002212524","0.60176509618759","1.0062383413315","0.42978340387344","0.63337582349777","0.068105950951576","0.3859229683876","1.0429410934448","Happy"
"Cameroon","Sub-Saharan Africa","107","4.6950001716614","0.5643053650856","0.94601821899414","0.13289211690426","0.43038874864578","0.051306631416082","0.23629845678806","2.3336455821991","Happy"
"Canada","North America","7","7.3159999847412","1.479204416275","1.481348991394","0.83455765247345","0.61110091209412","0.28737151622772","0.43553972244263","2.1872644424438","Very Happy"
"Central African Republic","Sub-Saharan Africa","155","2.6930000782013","0","0","0.01877268590033","0.27084204554558","0.056565076112747","0.28087648749352","2.0660047531128","Unhappy"
"Chad","Sub-Saharan Africa","137","3.9360001087189","0.43801298737526","0.95385587215424","0.041134715080261","0.16234202682972","0.05358188226819","0.21611385047436","2.0712380409241","Happy"
