"Country","Region","Happiness Rank","Happiness Score","Economy (GDP per Capita)","Family","Health (Life Expectancy)","Freedom","Trust (Government Corruption)","Generosity","Dystopia Residual","Year","Hapinness State"
"Afghanistan","Southern Asia","153","3.575","0.31982","0.30285","0.30335","0.23414","0.09719","0.3651","1.9521","2015","Happy"
"Afghanistan","Southern Asia","154","3.36","0.38227","0.11037","0.17344","0.1643","0.07112","0.31268","2.14558","2016","Happy"
"Afghanistan","Southern Asia","141","3.7939999103546","0.40147721767425","0.58154332637787","0.18074677884579","0.10617952048779","0.061157830059528","0.31187093257904","2.1508011817932","2017","Happy"
"Albania","Central and Eastern Europe","95","4.959","0.87867","0.80434","0.81325","0.35733","0.06413","0.14272","1.89894","2015","Happy"
"Albania","Central and Eastern Europe","109","4.655","0.9553","0.50163","0.73007","0.31866","0.05301","0.1684","1.92816","2016","Happy"
"Albania","Central and Eastern Europe","109","4.6440000534058","0.99619275331497","0.8036852478981","0.73115974664688","0.38149863481522","0.039864215999842","0.20131294429302","1.4904415607452","2017","Happy"
"Algeria","Middle East and Northern Africa","68","5.605","0.93929","1.07772","0.61766","0.28579","0.17383","0.07822","2.43209","2015","Happy"
"Algeria","Middle East and Northern Africa","38","6.355","1.05266","0.83309","0.61804","0.21006","0.16157","0.07044","3.40904","2016","Happy"
"Algeria","Middle East and Northern Africa","53","5.8720002174377","1.0918644666672","1.1462174654007","0.61758464574814","0.2333358079195","0.14609611034393","0.069436646997929","2.5676038265228","2017","Happy"
"Angola","Sub-Saharan Africa","137","4.033","0.75778","0.8604","0.16683","0.10384","0.07122","0.12344","1.94939","2015","Happy"
"Angola","Sub-Saharan Africa","141","3.866","0.84731","0.66366","0.04991","0.00589","0.08434","0.12071","2.09459","2016","Happy"
"Angola","Sub-Saharan Africa","140","3.795000076294","0.85842818021774","1.1044119596481","0.049868665635586","0","0.069720335304737","0.097926490008831","1.6144824028015","2017","Happy"
"Argentina","Latin America and Caribbean","30","6.574","1.05351","1.24823","0.78723","0.44974","0.08484","0.11451","2.836","2015","Happy"
"Argentina","Latin America and Caribbean","26","6.65","1.15137","1.06612","0.69711","0.42284","0.07296","0.10989","3.12985","2016","Very Happy"
"Argentina","Latin America and Caribbean","24","6.5989999771118","1.1852954626083","1.4404511451721","0.69513708353043","0.49451920390129","0.059739887714386","0.1094570606947","2.6140053272247","2017","Happy"
"Armenia","Central and Eastern Europe","127","4.35","0.76821","0.77711","0.7299","0.19847","0.039","0.07855","1.75873","2015","Happy"
"Armenia","Central and Eastern Europe","121","4.36","0.86086","0.62477","0.64083","0.14037","0.03616","0.07793","1.97864","2016","Happy"
"Armenia","Central and Eastern Europe","121","4.3759999275208","0.90059673786163","1.0074837207794","0.63752442598343","0.19830326735973","0.02667442150414","0.083488091826439","1.5214991569519","2017","Happy"
"Australia","Australia and New Zealand","10","7.284","1.33358","1.30923","0.93156","0.65124","0.35637","0.43562","2.26646","2015","Very Happy"
"Australia","Australia and New Zealand","9","7.313","1.44443","1.10476","0.8512","0.56837","0.32331","0.47407","2.5465","2016","Very Happy"
"Australia","Australia and New Zealand","10","7.2839999198914","1.484414935112","1.5100419521332","0.84388679265976","0.60160738229752","0.30118373036385","0.47769924998283","2.0652108192444","2017","Very Happy"
"Austria","Western Europe","13","7.2","1.33723","1.29704","0.89042","0.62433","0.18676","0.33088","2.5332","2015","Very Happy"
"Austria","Western Europe","12","7.119","1.45038","1.08383","0.80565","0.54355","0.21348","0.32865","2.69343","2016","Very Happy"
"Austria","Western Europe","13","7.0060000419617","1.4870972633362","1.4599449634552","0.81532841920853","0.56776618957519","0.22106036543846","0.31647232174873","2.1385064125061","2017","Very Happy"
"Azerbaijan","Central and Eastern Europe","80","5.212","1.02389","0.93793","0.64045","0.3703","0.16065","0.07799","2.00073","2015","Happy"
"Azerbaijan","Central and Eastern Europe","81","5.291","1.12373","0.76042","0.54504","0.35327","0.17914","0.0564","2.2735","2016","Happy"
"Azerbaijan","Central and Eastern Europe","85","5.2340002059936","1.1536017656326","1.1524002552032","0.54077577590942","0.39815583825111","0.18098750710487","0.045269340276718","1.7624816894531","2017","Happy"
"Bahrain","Middle East and Northern Africa","49","5.96","1.32376","1.21624","0.74716","0.45492","0.306","0.17362","1.73797","2015","Happy"
"Bahrain","Middle East and Northern Africa","42","6.218","1.44024","0.94397","0.65696","0.47375","0.25772","0.17147","2.27405","2016","Happy"
"Bahrain","Middle East and Northern Africa","41","6.0869998931885","1.4884122610092","1.323110461235","0.65313303470612","0.53674691915512","0.25704216957092","0.17266848683357","1.6561493873596","2017","Happy"
"Bangladesh","Southern Asia","109","4.694","0.39753","0.43106","0.60164","0.4082","0.12569","0.21222","2.51767","2015","Happy"
"Bangladesh","Southern Asia","110","4.643","0.54177","0.24749","0.52989","0.39778","0.12583","0.19132","2.60904","2016","Happy"
"Bangladesh","Southern Asia","110","4.6079998016357","0.58668297529221","0.73513174057007","0.53324103355408","0.47835665941238","0.1237178593874","0.17225535213947","1.9787361621857","2017","Happy"
"Belarus","Central and Eastern Europe","59","5.813","1.03192","1.23289","0.73608","0.37938","0.1909","0.11046","2.1309","2015","Happy"
"Belarus","Central and Eastern Europe","61","5.802","1.13062","1.04993","0.63104","0.29091","0.17457","0.13942","2.38582","2016","Happy"
"Belarus","Central and Eastern Europe","67","5.5689997673035","1.156557559967","1.4449452161789","0.63771426677704","0.29540026187897","0.15631382167339","0.15513750910759","1.7232329845429","2017","Happy"
"Belgium","Western Europe","19","6.937","1.30782","1.28566","0.89667","0.5845","0.2254","0.2225","2.41484","2015","Very Happy"
"Belgium","Western Europe","18","6.929","1.42539","1.05249","0.81959","0.51354","0.26248","0.2424","2.61355","2016","Very Happy"
"Belgium","Western Europe","17","6.8909997940064","1.4637807607651","1.4623126983643","0.81809186935425","0.53977072238922","0.25134313106537","0.23150333762169","2.124210357666","2017","Very Happy"
"Belize","Latin America and Caribbean","52","5.956","0.87616","0.68655","0.45569","0.51231","0.10771","0.23684","3.08039","2016","Happy"
"Belize","Latin America and Caribbean","50","5.9559998512268","0.90797531604767","1.081417798996","0.45019176602364","0.54750937223434","0.096581071615219","0.24001564085484","2.6319556236267","2017","Happy"
"Benin","Sub-Saharan Africa","155","3.34","0.28665","0.35386","0.3191","0.4845","0.0801","0.1826","1.63328","2015","Happy"
"Benin","Sub-Saharan Africa","153","3.484","0.39499","0.10419","0.21028","0.39747","0.06681","0.2018","2.10812","2016","Happy"
"Benin","Sub-Saharan Africa","143","3.6570000648498","0.43108540773392","0.43529984354973","0.20993021130562","0.42596277594566","0.060929015278816","0.20794846117496","1.8856309652329","2017","Happy"
"Bhutan","Southern Asia","79","5.253","0.77042","1.10395","0.57407","0.53206","0.15445","0.47998","1.63794","2015","Happy"
"Bhutan","Southern Asia","84","5.196","0.8527","0.90836","0.49759","0.46074","0.1616","0.48546","1.82916","2016","Happy"
"Bhutan","Southern Asia","97","5.0110001564026","0.88541638851166","1.3401265144348","0.4958792924881","0.50153768062592","0.17338038980961","0.47405454516411","1.1401844024658","2017","Happy"
"Bolivia","Latin America and Caribbean","51","5.89","0.68133","0.97841","0.5392","0.57414","0.088","0.20536","2.82334","2015","Happy"
"Bolivia","Latin America and Caribbean","59","5.822","0.79422","0.83779","0.4697","0.50961","0.07746","0.21698","2.91635","2016","Happy"
"Bolivia","Latin America and Caribbean","58","5.8229999542236","0.83375656604767","1.2276190519333","0.47363024950027","0.55873292684555","0.06047772616148","0.22556072473526","2.4432790279388","2017","Happy"
"Bosnia and Herzegovina","Central and Eastern Europe","96","4.949","0.83223","0.91916","0.79081","0.09245","0.00227","0.24808","2.06367","2015","Happy"
"Bosnia and Herzegovina","Central and Eastern Europe","87","5.163","0.93383","0.64367","0.70766","0.09511","0","0.29889","2.48406","2016","Happy"
"Bosnia and Herzegovina","Central and Eastern Europe","90","5.1820001602173","0.98240941762924","1.0693359375","0.70518630743027","0.20440317690373","0","0.32886749505997","1.892172574997","2017","Happy"
"Botswana","Sub-Saharan Africa","128","4.332","0.99355","1.10464","0.04776","0.49495","0.12474","0.10461","1.46181","2015","Happy"
"Botswana","Sub-Saharan Africa","137","3.974","1.09426","0.89186","0.34752","0.44089","0.10769","0.12425","0.96741","2016","Happy"
"Botswana","Sub-Saharan Africa","142","3.7660000324249","1.1220941543579","1.2215549945831","0.34175550937653","0.50519633293152","0.098583199083805","0.099348448216915","0.3779137134552","2017","Happy"
"Brazil","Latin America and Caribbean","16","6.983","0.98124","1.23287","0.69702","0.49049","0.17521","0.14574","3.26001","2015","Very Happy"
"Brazil","Latin America and Caribbean","17","6.952","1.08754","1.03938","0.61415","0.40425","0.14166","0.15776","3.50733","2016","Very Happy"
"Brazil","Latin America and Caribbean","22","6.6350002288818","1.1073532104492","1.4313060045242","0.61655235290527","0.43745374679565","0.11109276115894","0.16234989464283","2.7692670822144","2017","Very Happy"
"Bulgaria","Central and Eastern Europe","134","4.218","1.01216","1.10614","0.76649","0.30587","0.00872","0.11921","0.89991","2015","Happy"
"Bulgaria","Central and Eastern Europe","129","4.217","1.11306","0.92542","0.67806","0.21219","0.00615","0.12793","1.15377","2016","Happy"
"Bulgaria","Central and Eastern Europe","105","4.7140002250671","1.1614590883255","1.4343794584274","0.70821768045425","0.28923171758652","0.011051530949771","0.11317769438028","0.99613928794861","2017","Happy"
"Burkina Faso","Sub-Saharan Africa","152","3.587","0.25812","0.85188","0.27125","0.39493","0.12832","0.21747","1.46494","2015","Happy"
